TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/12/15 06:25,01F0664S,01F0681S,32,62,52,95
2023/04/07 02:35,01F0928S,01F0950S,5,89,15,86
2023/01/11 23:15,01F0928S,01F0950S,5,83,13,93
2023/10/09 16:45,01F0699S,01F0750S,42,225,3,79
2023/12/06 12:35,01F0413S,01F0467S,31,207,150,93
2023/07/16 14:35,01F0339S,01F0376S,5,176,5,75
2023/06/08 03:00,01F0664S,01F0681S,42,66,10,90
2023/01/18 02:05,01F0413S,01F0467S,32,195,9,97
2023/10/24 18:35,01F0928S,01F0950S,31,82,135,93
2023/08/15 19:15,01F0532S,01F0557S,5,116,8,75
2023/03/08 14:35,01F0928S,01F0950S,32,82,44,93
2023/09/24 02:20,01F0532S,01F0557S,31,87,48,100
2023/08/20 07:15,01F0413S,01F0467S,5,210,3,90
2023/11/12 17:15,01F0467S,01F0492S,32,101,43,86
2023/03/19 22:25,01F0664S,01F0681S,41,62,6,95
2023/02/16 08:15,01F0264S,01F0293S,31,105,265,97
2023/07/19 23:00,01F0681S,01F0699S,41,0,0,0
2023/06/25 07:00,01F0750S,01F0880S,32,459,36,100
2023/08/20 00:20,01F0557S,01F0578S,32,83,11,90
2023/09/07 11:55,01F0880S,01F0928S,31,184,183,93
2023/08/09 15:15,01F0699S,01F0750S,31,181,79,100
2023/01/11 08:35,01F0578S,01F0633S,5,315,20,61
2023/02/02 07:10,01F0699S,01F0750S,31,200,206,90
2023/10/08 20:30,01F0750S,01F0880S,41,589,6,77
2023/07/12 15:50,01F0293S,01F0339S,5,215,13,75
2023/02/18 03:35,01F0492S,01F0511S,42,68,5,97
2023/05/30 22:05,01F0950S,01F0980S,32,111,14,95
2023/04/21 17:05,01F0293S,01F0339S,42,332,11,46
2023/07/08 07:45,01F0664S,01F0681S,32,62,55,97
2023/01/26 04:50,01F0750S,01F0880S,31,451,69,100
2023/08/16 09:00,01F0928S,01F0950S,42,129,10,59
2023/04/18 12:35,01F0413S,01F0467S,41,217,6,88
2023/03/29 01:45,01F0532S,01F0557S,41,0,0,0
2023/11/10 02:50,01F0681S,01F0699S,41,0,0,0
2023/08/26 12:45,01F0880S,01F0928S,42,523,7,32
2023/04/07 01:35,01F0557S,01F0578S,31,70,26,106
2023/09/27 10:55,01F0492S,01F0511S,42,113,36,57
2023/10/13 21:45,01F0557S,01F0578S,31,85,161,86
2023/05/09 09:10,01F0681S,01F0699S,31,69,99,93
2023/05/16 18:25,01F0492S,01F0511S,42,91,6,73
2023/12/15 21:35,01F0413S,01F0467S,42,219,8,88
2023/07/12 22:30,01F0264S,01F0293S,31,105,214,97
2023/08/03 09:35,01F0664S,01F0681S,42,74,33,79
2023/03/21 01:45,01F0664S,01F0681S,42,60,9,100
2023/06/05 21:35,01F0532S,01F0557S,42,113,12,77
2023/11/26 09:15,01F0681S,01F0699S,41,67,3,93
2023/03/25 17:10,01F0633S,01F0664S,32,177,43,61
2023/09/19 18:20,01F0699S,01F0750S,5,195,4,91
2023/07/09 09:45,01F0511S,01F0532S,42,1043,2,41
2023/09/26 22:45,01F0950S,01F0980S,5,129,15,82
2023/10/09 04:15,01F0557S,01F0578S,31,78,18,93
2023/09/28 16:35,01F0511S,01F0532S,41,218,7,32
2023/09/14 14:05,01F0557S,01F0578S,5,94,24,79
2023/04/13 09:30,01F0467S,01F0492S,42,106,27,82
2023/03/30 06:10,01F0681S,01F0699S,31,64,47,100
2023/11/26 12:05,01F0950S,01F0980S,41,0,0,0
2023/12/09 11:10,01F0880S,01F0928S,31,731,248,21
2023/01/24 03:10,01F0633S,01F0664S,41,118,2,91
2023/11/10 20:40,01F0511S,01F0532S,41,92,7,79
2023/03/27 07:15,01F0880S,01F0928S,32,285,72,57
2023/09/20 13:50,01F0339S,01F0376S,32,173,152,75
2023/10/08 07:45,01F0264S,01F0293S,42,115,4,88
2023/04/18 12:30,01F0578S,01F0633S,32,222,55,86
2023/07/14 23:30,01F0492S,01F0511S,42,68,9,97
2023/07/06 21:50,01F0928S,01F0950S,31,77,93,100
2023/03/17 07:45,01F0264S,01F0293S,31,106,286,97
2023/04/05 15:05,01F0467S,01F0492S,31,91,253,97
2023/07/03 01:10,01F0750S,01F0880S,32,461,9,100
2023/03/21 03:00,01F0950S,01F0980S,32,121,3,86
2023/08/14 10:35,01F0681S,01F0699S,31,69,59,93
2023/03/20 03:35,01F0492S,01F0511S,31,68,16,97
2023/01/30 18:25,01F0467S,01F0492S,41,105,2,84
2023/03/01 07:40,01F0293S,01F0339S,5,196,12,82
2023/02/05 15:45,01F0750S,01F0880S,32,623,34,72
2023/04/24 08:45,01F0633S,01F0664S,5,145,20,75
2023/06/15 08:40,01F0633S,01F0664S,31,129,132,86
2023/07/22 03:45,01F0880S,01F0928S,5,183,10,93
2023/01/05 07:10,01F0339S,01F0376S,31,152,353,86
2023/03/04 07:00,01F0339S,01F0376S,42,154,16,84
2023/08/16 12:25,01F0681S,01F0699S,31,76,97,82
2023/04/13 10:20,01F0880S,01F0928S,5,330,23,50
2023/07/18 04:00,01F0467S,01F0492S,31,85,16,104
2023/12/29 07:15,01F0578S,01F0633S,5,301,18,64
